invno,invdate,amount,tbl_customer_idtbl_customer,customer,,,,,,,,,
5515,11/15/2023,941167.5,371,M/S. ORBIT GLASS LANKA,,,,,,,,,
5516,11/15/2023,1027770,371,M/S. ORBIT GLASS LANKA,,,,,,,,,
4247,1/4/2023,208507.5,372,M/S.LANKA LIGHTS,,,,,,,,,
4692,6/6/2023,222690,372,M/S.LANKA LIGHTS,,,,,,,,,
4829,7/10/2023,101137.5,372,M/S.LANKA LIGHTS,,,,,,,,,
5406,10/24/2023,81615,372,M/S.LANKA LIGHTS,,,,,,,,,
5727,12/29/2023,217507.5,373,M/S.NEW WAYAMBA LIGHTS,,,,,,,,,
5628,12/13/2023,102930,374,M/S.NEW S.S.CERAMIC & HARDWARE,,,,,,,,,
5440,10/30/2023,16635,375,M/S.LIGHTING TOKYO,,,,,,,,,
5696,12/27/2023,268290,376,M/S.NEW VIVI ELECTRO,,,,,,,,,
4597,5/8/2023,90750,377,M/S.RIZNA HARDWARE,,,,,,,,,
4746,6/20/2023,36825,377,M/S.RIZNA HARDWARE,,,,,,,,,
4899,7/25/2023,47175,377,M/S.RIZNA HARDWARE,,,,,,,,,
5332,10/9/2023,103905,377,M/S.RIZNA HARDWARE,,,,,,,,,
5455,10/31/2023,12000,377,M/S.RIZNA HARDWARE,,,,,,,,,
3339,1/24/2023,8100,379,M/S.WINITECH ELECTRICALS,,,,,,,,,
,,,,,,,,,,,,,
4614,5/12/2023,78322.5,380,M/S.PELMADULLA ELECTRICALS,,,,,,,,,
4666,5/31/2023,68745,380,M/S.PELMADULLA ELECTRICALS,,,,,,,,,
4744,6/20/2023,13005,380,M/S.PELMADULLA ELECTRICALS,,,,,,,,,
4589,5/3/2023,248512.5,91,SAHANMA LIGHT,,,,,,,,,
4745,6/20/2023,24000,380,M/S.PELMADULLA ELECTRICALS,,,,,,,,,
4664,5/31/2023,4575,91,SAHANMA LIGHT,,,,,,,,,
5477,11/3/2023,139425,91,SAHANMA LIGHT,,,,,,,,,
4743,6/20/2023,58357.5,380,M/S.PELMADULLA ELECTRICALS,,,,,,,,,
5510,11/15/2023,32250,91,SAHANMA LIGHT,,,,,,,,,
4751,6/21/2023,36877.5,380,M/S.PELMADULLA ELECTRICALS,,,,,,,,,
5522,11/16/2023,30450,91,SAHANMA LIGHT,,,,,,,,,
4846,7/11/2023,81262.5,380,M/S.PELMADULLA ELECTRICALS,,,,,,,,,
4879,7/17/2023,62707.5,380,M/S.PELMADULLA ELECTRICALS,,,,,,,,,
4783,6/27/2023,22515,70,DENTO ELECTRICALS,,,,,,,,,
4929,7/25/2023,57075,380,M/S.PELMADULLA ELECTRICALS,,,,,,,,,
4993,8/8/2023,59475,380,M/S.PELMADULLA ELECTRICALS,,,,,,,,,
